distance_km,Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Road_traffic_density,Weather_conditions,Festival,Time_taken_min,late
12.16,39.0,4.7,2,1.0,Low,Stormy,No,26,0
13.77,31.0,4.7,2,1.0,Jam,Fog,Yes,43,1
6.21,33.0,4.9,1,1.0,High,Fog,No,31,1
20.21,25.0,4.6,1,0.0,Medium,Fog,No,25,0
17.07,24.0,4.5,2,0.0,Low,Fog,No,23,0
9.33,36.0,4.9,1,1.0,Jam,Sandstorms,No,27,0
7.6,25.0,4.7,1,0.0,Medium,Cloudy,No,19,0
16.66,31.0,4.0,1,2.0,Jam,Fog,No,41,1
3.03,31.0,4.7,2,1.0,High,Sunny,No,15,0
3.06,35.0,4.1,2,0.0,High,Sandstorms,No,31,1
4.47,37.0,4.9,2,1.0,Medium,Sunny,No,24,0
12.12,25.0,4.6,1,0.0,Jam,Windy,No,19,0
6.04,27.0,4.9,1,0.0,High,Sunny,No,12,0
1.56,32.0,4.6,0,1.0,Low,Fog,No,25,0
10.72,37.0,4.9,0,1.0,Jam,Cloudy,No,51,1
10.87,38.0,4.6,1,0.0,Jam,Sunny,No,23,0
6.04,23.0,4.8,2,0.0,High,Sunny,No,13,0
1.52,38.0,4.3,0,1.0,Low,Windy,No,26,0
6.22,20.0,4.9,2,1.0,High,Stormy,No,22,0
1.55,20.0,4.6,1,0.0,High,Windy,No,22,0
19.88,31.0,4.6,0,1.0,Jam,Fog,No,45,1
3.1,33.0,4.5,1,1.0,Low,Stormy,No,26,0
6.22,33.0,4.9,2,0.0,Medium,Sunny,No,17,0
7.86,38.0,4.5,0,1.0,Medium,Fog,No,29,0
9.26,39.0,4.4,2,1.0,Medium,Windy,No,33,1
9.31,28.0,4.0,0,1.0,Low,Stormy,No,29,0
4.72,29.0,4.7,0,0.0,Medium,Sandstorms,No,19,0
12.42,37.0,3.8,1,0.0,Low,Fog,No,34,1
13.41,23.0,4.8,0,1.0,Medium,Windy,No,30,0
6.05,39.0,4.9,0,0.0,Medium,Fog,No,25,0
16.79,35.0,4.9,1,1.0,Low,Fog,No,30,0
5.96,26.0,4.5,2,1.0,High,Windy,No,18,0
7.56,28.0,5.0,1,0.0,Low,Sandstorms,No,15,0
19.69,36.0,4.7,1,0.0,Medium,Sunny,No,21,0
12.42,27.0,4.7,2,1.0,Medium,Cloudy,No,25,0
7.79,31.0,4.9,1,0.0,Jam,Fog,No,25,0
7.65,35.0,4.5,0,0.0,Medium,Sunny,No,28,0
11.94,39.0,4.6,0,1.0,Low,Stormy,No,27,0
7.76,33.0,5.0,2,1.0,Jam,Cloudy,No,33,1
3.03,23.0,4.6,2,1.0,Low,Cloudy,No,16,0
12.07,25.0,3.1,2,1.0,Low,Sunny,No,44,1
3.1,37.0,4.7,1,1.0,Low,Sunny,No,19,0
13.97,28.0,4.6,0,1.0,Low,Sunny,No,23,0
6.08,27.0,4.9,1,0.0,Medium,Stormy,No,21,0
7.6,39.0,4.8,0,1.0,Jam,Sandstorms,No,36,1
6.13,38.0,4.9,0,1.0,High,Sunny,No,24,0
1.55,29.0,4.3,0,1.0,Low,Stormy,No,26,0
10.81,35.0,4.6,0,0.0,Low,Sandstorms,No,26,0
3.07,25.0,5.0,0,1.0,High,Fog,No,25,0
10.43,25.0,4.8,1,0.0,Jam,Sandstorms,No,26,0
9.44,30.0,4.7,2,1.0,Jam,Windy,No,28,0
17.3,35.0,4.8,1,1.0,Medium,Sunny,No,22,0
11.01,34.0,4.1,0,1.0,Medium,Sunny,No,37,1
12.29,33.0,5.0,0,0.0,Medium,Sandstorms,No,35,1
1.57,38.0,4.7,2,0.0,Low,Sunny,No,19,0
9.12,33.0,4.1,1,0.0,Jam,Fog,No,32,1
3.02,37.0,4.7,2,0.0,Low,Fog,No,16,0
7.45,21.0,4.7,2,0.0,Jam,Fog,No,24,0
10.43,38.0,4.6,1,2.0,Jam,Fog,No,46,1
20.18,21.0,4.7,2,1.0,Jam,Sunny,No,21,0
10.43,31.0,4.2,0,1.0,Medium,Windy,No,31,1
12.08,29.0,4.8,1,0.0,Low,Sandstorms,No,11,0
12.46,34.0,4.7,2,1.0,Jam,Sunny,No,19,0
16.61,20.0,4.9,0,1.0,Medium,Cloudy,No,37,1
10.76,32.0,4.6,0,3.0,Jam,Fog,No,51,1
6.21,22.0,4.7,2,0.0,High,Windy,No,23,0
9.31,20.0,5.0,2,1.0,Low,Stormy,No,18,0
4.72,38.0,5.0,0,1.0,Jam,Cloudy,No,32,1
9.19,24.0,4.8,0,0.0,Medium,Sunny,No,16,0
6.04,27.0,4.6,0,1.0,High,Windy,No,24,0
10.57,22.0,4.7,1,1.0,Jam,Cloudy,No,31,1
4.66,28.0,4.1,0,1.0,Jam,Windy,No,36,1
13.43,36.0,4.4,2,1.0,Jam,Cloudy,No,41,1
9.16,23.0,4.7,2,0.0,Jam,Fog,No,22,0
9.06,34.0,4.8,1,1.0,Low,Windy,No,25,0
9.44,38.0,4.8,1,0.0,Low,Windy,No,22,0
16.85,33.0,5.0,1,0.0,Low,Sunny,No,19,0
19.88,31.0,3.9,2,1.0,Jam,Stormy,No,40,1
3.03,26.0,4.6,0,0.0,High,Fog,No,25,0
20.25,27.0,4.6,1,0.0,Medium,Cloudy,No,25,0
20.25,32.0,4.5,2,1.0,Jam,Sandstorms,No,33,1
3.11,28.0,4.1,0,1.0,Low,Windy,No,29,0
12.46,30.0,3.6,1,2.0,Jam,Sandstorms,No,32,1
10.73,36.0,3.7,2,2.0,Jam,Stormy,Yes,42,1
13.77,37.0,4.6,0,1.0,Jam,Sunny,No,25,0
11.98,24.0,4.9,0,1.0,Medium,Sunny,No,18,0
9.33,24.0,4.8,2,1.0,Jam,Cloudy,No,27,0
9.08,20.0,4.6,2,1.0,Jam,Stormy,No,25,0
10.76,37.0,4.6,2,1.0,Medium,Sunny,No,16,0
12.26,24.0,4.8,0,0.0,Medium,Fog,Yes,44,1
9.12,38.0,4.7,2,0.0,Jam,Sandstorms,No,31,1
16.66,36.0,4.6,0,1.0,Low,Cloudy,No,37,1
11.92,36.0,3.7,2,1.0,Jam,Stormy,No,39,1
1.56,39.0,4.3,0,1.0,Low,Windy,No,29,0
1.55,22.0,4.8,2,0.0,Low,Fog,No,14,0
16.61,20.0,5.0,1,0.0,Low,Windy,No,16,0
6.04,39.0,5.0,0,1.0,High,Cloudy,No,26,0
4.54,38.0,4.8,1,1.0,Low,Stormy,No,23,0
10.76,32.0,4.9,2,1.0,Medium,Sunny,No,26,0
12.42,34.0,4.5,2,1.0,Medium,Sandstorms,No,29,0
3.03,34.0,5.0,0,0.0,Low,Cloudy,No,26,0
20.85,26.0,4.5,1,1.0,Medium,Fog,No,29,0
6.05,29.0,4.6,1,1.0,High,Fog,No,23,0
9.36,21.0,4.6,2,0.0,Medium,Cloudy,No,19,0
9.33,37.0,4.0,1,1.0,Jam,Cloudy,No,32,1
10.6,24.0,4.9,2,1.0,Medium,Stormy,No,26,0
19.66,29.0,4.8,1,1.0,Medium,Fog,No,31,1
16.66,30.0,5.0,0,2.0,Jam,Sandstorms,No,36,1
1.53,25.0,4.4,0,1.0,Low,Stormy,No,25,0
10.57,30.0,3.5,0,1.0,Low,Sunny,No,32,1
5.97,25.0,4.8,1,1.0,High,Windy,No,28,0
12.42,29.0,4.6,1,1.0,Medium,Stormy,No,19,0
6.13,36.0,4.7,2,0.0,High,Cloudy,No,33,1
7.44,25.0,5.0,2,0.0,Medium,Cloudy,No,12,0
3.06,21.0,4.3,0,0.0,Low,Stormy,No,22,0
17.1,35.0,4.9,2,0.0,Low,Sunny,No,28,0
17.07,36.0,4.7,1,1.0,Medium,Cloudy,No,39,1
4.47,21.0,5.0,0,0.0,Low,Sunny,No,11,0
6.06,21.0,4.8,0,1.0,High,Windy,No,16,0
16.9,21.0,4.6,0,0.0,Medium,Cloudy,No,38,1
13.76,30.0,4.6,0,2.0,Medium,Cloudy,Yes,49,1
10.88,21.0,4.6,0,0.0,Medium,Windy,No,28,0
12.24,29.0,4.8,1,1.0,Medium,Fog,No,31,1
10.88,36.0,4.5,2,1.0,Low,Sandstorms,No,27,0
6.21,35.0,4.0,1,1.0,Medium,Stormy,No,32,1
5.99,38.0,4.8,1,0.0,Medium,Stormy,No,27,0
20.18,27.0,4.6,2,0.0,Jam,Sandstorms,No,17,0
5.96,22.0,4.7,1,1.0,High,Sunny,No,14,0
20.18,25.0,4.7,0,1.0,Low,Sandstorms,No,15,0
10.73,20.0,4.7,0,1.0,Low,Fog,No,21,0
16.64,29.0,4.0,1,1.0,Medium,Cloudy,No,34,1
9.33,26.0,4.8,0,0.0,Jam,Sandstorms,No,15,0
1.53,20.0,4.9,1,0.0,Low,Sandstorms,No,12,0
13.63,30.0,4.6,2,1.0,Low,Stormy,No,26,0
3.07,20.0,4.9,0,1.0,Low,Fog,No,22,0
19.76,26.0,4.7,1,1.0,Low,Windy,No,17,0
6.21,39.0,4.1,0,1.0,High,Cloudy,No,32,1
4.53,24.0,4.9,1,0.0,Low,Sunny,No,23,0
2.94,39.0,4.8,1,1.0,Low,Stormy,No,24,0
1.54,30.0,4.6,0,1.0,Low,Fog,No,23,0
12.11,29.0,4.9,0,1.0,Medium,Stormy,No,26,0
1.52,20.0,4.9,2,1.0,Low,Sunny,No,16,0
10.87,25.0,5.0,0,1.0,Low,Fog,No,23,0
20.25,33.0,4.6,2,1.0,Low,Sunny,No,20,0
10.43,30.0,4.9,1,0.0,Medium,Sunny,No,29,0
10.43,28.0,4.8,1,1.0,Medium,Sunny,No,12,0
10.43,27.0,4.0,1,2.0,Jam,Fog,No,37,1
17.14,36.0,4.1,2,1.0,Jam,Sunny,No,34,1
12.21,24.0,4.6,0,1.0,Low,Sunny,No,20,0
10.57,38.0,4.5,2,0.0,Jam,Stormy,No,25,0
4.66,22.0,4.6,0,1.0,Low,Fog,No,19,0
20.25,38.0,5.0,1,1.0,Low,Sandstorms,No,27,0
9.32,23.0,4.8,0,1.0,Jam,Fog,No,21,0
10.76,31.0,4.8,1,1.0,Low,Sandstorms,No,15,0
4.66,30.0,4.6,1,1.0,Low,Fog,No,18,0
13.41,23.0,4.7,0,1.0,Jam,Cloudy,No,37,1
13.79,30.0,4.9,2,0.0,Low,Windy,No,20,0
7.55,35.0,4.6,1,1.0,Jam,Stormy,No,31,1
11.01,30.0,4.7,0,1.0,Low,Sandstorms,No,22,0
16.6,28.0,4.8,0,0.0,Low,Stormy,No,21,0
10.59,38.0,3.9,2,1.0,Jam,Windy,No,41,1
12.24,29.0,4.6,0,2.0,Jam,Cloudy,No,41,1
4.67,28.0,4.7,0,1.0,Jam,Fog,No,21,0
3.02,33.0,4.0,0,1.0,Low,Sandstorms,No,33,1
7.45,34.0,4.8,2,0.0,Low,Sunny,No,11,0
10.43,38.0,5.0,2,2.0,Medium,Fog,No,41,1
1.51,36.0,4.9,2,1.0,High,Fog,No,28,0
1.57,28.0,4.8,1,0.0,Low,Stormy,No,11,0
7.76,21.0,4.8,1,1.0,Medium,Sandstorms,No,27,0
10.71,34.0,4.6,2,1.0,Jam,Fog,No,36,1
1.56,25.0,4.8,2,0.0,Low,Fog,No,15,0
7.66,34.0,4.7,1,1.0,Jam,Sandstorms,No,30,0
7.49,34.0,4.1,2,1.0,Medium,Stormy,No,33,1
4.66,29.0,4.8,1,1.0,Medium,Fog,No,17,0
1.53,22.0,4.3,0,1.0,Low,Stormy,No,27,0
7.76,25.0,4.6,2,1.0,Jam,Sunny,No,16,0
17.17,35.0,3.6,2,1.0,Jam,Sandstorms,No,31,1
20.29,35.0,4.5,2,1.0,Low,Fog,No,35,1
14.02,30.0,3.5,1,1.0,Medium,Windy,No,38,1
19.92,35.0,4.8,1,0.0,Medium,Sunny,No,26,0
7.45,21.0,4.5,2,1.0,Medium,Sandstorms,No,25,0
13.58,36.0,4.7,1,1.0,Jam,Fog,No,38,1
3.15,20.0,5.0,1,0.0,Low,Sunny,No,23,0
7.6,33.0,4.8,1,1.0,Jam,Stormy,No,26,0
1.55,22.0,4.7,0,0.0,Low,Sunny,No,11,0
7.77,29.0,4.7,1,1.0,Jam,Sandstorms,No,26,0
4.66,30.0,4.6,0,1.0,Medium,Sunny,No,25,0
10.88,27.0,4.7,0,0.0,Jam,Cloudy,No,41,1
20.25,37.0,3.7,1,1.0,Jam,Windy,No,41,1
9.09,22.0,4.7,2,1.0,Low,Sunny,No,18,0
7.63,27.0,4.6,1,0.0,Low,Stormy,No,13,0
7.86,35.0,4.6,0,1.0,Medium,Windy,No,38,1
12.46,30.0,4.6,2,3.0,Jam,Fog,No,49,1
8.79,29.0,4.7,1,1.0,Jam,Cloudy,No,30,0
16.6,38.0,4.1,2,1.0,Jam,Windy,No,35,1
1.53,20.0,5.0,0,1.0,High,Sandstorms,No,30,0
1.54,27.0,4.9,0,1.0,Low,Sunny,No,19,0
1.56,38.0,4.9,2,1.0,High,Fog,No,38,1
20.21,24.0,4.9,1,1.0,Jam,Sunny,No,16,0
1.55,31.0,5.0,0,1.0,Low,Fog,No,28,0
13.97,36.0,4.1,1,1.0,Medium,Cloudy,No,33,1
12.24,32.0,5.0,0,1.0,Low,Stormy,No,23,0
17.14,27.0,4.6,1,1.0,Low,Cloudy,No,20,0
20.85,36.0,4.4,2,1.0,Medium,Fog,No,34,1
13.79,23.0,4.8,0,2.0,Jam,Cloudy,No,41,1
1.55,25.0,4.7,1,1.0,Low,Fog,No,11,0
13.22,37.0,4.4,2,2.0,Jam,Sandstorms,No,35,1
6.13,31.0,4.8,2,0.0,Medium,Fog,No,15,0
12.58,32.0,4.0,0,1.0,Low,Cloudy,No,35,1
12.12,20.0,3.2,2,2.0,Low,Sunny,No,42,1
14.15,20.0,4.9,2,0.0,Medium,Windy,No,23,0
19.76,21.0,4.5,1,0.0,Medium,Sandstorms,No,24,0
10.87,26.0,4.5,0,1.0,Jam,Cloudy,No,43,1
19.91,37.0,3.5,1,1.0,Low,Cloudy,No,35,1
7.86,21.0,4.5,2,1.0,Jam,Sandstorms,No,24,0
10.87,25.0,4.2,1,2.0,Jam,Cloudy,No,43,1
10.91,26.0,4.8,2,1.0,Jam,Fog,No,30,0
16.64,22.0,4.9,2,1.0,Medium,Sandstorms,No,29,0
10.59,25.0,5.0,0,0.0,Jam,Sandstorms,No,30,0
8.81,39.0,4.7,2,1.0,Jam,Sandstorms,No,28,0
1.53,26.0,4.3,0,1.0,Low,Sandstorms,No,25,0
12.1,25.0,4.9,2,1.0,Medium,Windy,No,15,0
10.43,27.0,4.5,2,1.0,Jam,Sandstorms,No,25,0
6.04,26.0,4.5,1,0.0,High,Stormy,No,24,0
9.12,28.0,4.7,2,1.0,Low,Fog,No,15,0
9.31,23.0,5.0,1,1.0,Low,Stormy,No,19,0
1.52,24.0,4.5,0,1.0,Low,Cloudy,No,19,0
10.71,32.0,4.9,2,0.0,Low,Sunny,No,17,0
1.55,23.0,4.7,0,1.0,Low,Cloudy,No,20,0
3.06,24.0,4.7,2,0.0,Low,Windy,No,18,0
4.59,21.0,4.5,1,0.0,Medium,Stormy,No,29,0
9.31,21.0,4.9,1,1.0,Medium,Windy,No,26,0
12.1,33.0,4.5,2,1.0,Low,Fog,No,35,1
3.07,34.0,4.8,0,1.0,High,Sunny,No,21,0
19.66,35.0,4.2,1,2.0,Low,Cloudy,No,37,1
17.3,38.0,4.5,1,2.0,Jam,Sandstorms,No,36,1
12.26,38.0,3.8,2,1.0,Jam,Stormy,No,41,1
9.44,32.0,4.7,2,1.0,Medium,Sunny,No,22,0
4.61,31.0,4.7,1,1.0,Low,Cloudy,No,18,0
10.49,21.0,4.6,1,1.0,Low,Fog,No,21,0
4.53,32.0,4.7,2,1.0,Jam,Sandstorms,No,30,0
20.44,24.0,4.7,1,1.0,Jam,Sandstorms,No,28,0
1.55,21.0,4.8,0,1.0,Low,Cloudy,No,24,0
10.59,28.0,4.7,1,0.0,Jam,Sandstorms,No,25,0
6.21,26.0,4.9,2,1.0,High,Cloudy,No,22,0
6.21,27.0,4.6,1,1.0,High,Cloudy,No,32,1
7.76,33.0,4.5,1,1.0,Medium,Stormy,No,27,0
12.07,23.0,4.8,2,1.0,Jam,Sandstorms,No,21,0
12.26,33.0,4.7,0,2.0,Low,Fog,No,36,1
6.13,36.0,4.9,2,1.0,Medium,Stormy,No,29,0
7.79,34.0,4.6,0,1.0,Medium,Cloudy,No,28,0
7.56,36.0,4.7,2,1.0,Low,Cloudy,No,15,0
7.68,24.0,4.7,2,1.0,Jam,Fog,No,21,0
4.46,29.0,4.6,0,0.0,Medium,Sandstorms,No,17,0
1.54,28.0,4.8,2,0.0,Low,Sandstorms,No,18,0
12.42,25.0,5.0,2,0.0,Low,Sunny,No,27,0
20.51,31.0,3.2,0,1.0,Low,Sunny,No,33,1
5.99,24.0,4.6,2,1.0,High,Fog,No,26,0
1.52,26.0,4.7,2,0.0,Low,Stormy,No,10,0
10.73,31.0,4.3,1,1.0,Jam,Cloudy,No,36,1
9.09,31.0,4.3,0,1.0,Low,Stormy,No,31,1
7.45,23.0,4.8,2,1.0,Medium,Fog,No,16,0
7.68,26.0,4.2,0,1.0,Low,Windy,No,16,0
16.72,20.0,4.5,2,1.0,Jam,Stormy,No,19,0
1.52,32.0,4.7,1,1.0,High,Sandstorms,No,28,0
16.39,22.0,4.7,0,1.0,Jam,Stormy,No,28,0
20.18,39.0,4.4,1,1.0,Jam,Sandstorms,No,33,1
13.79,39.0,3.9,2,1.0,Jam,Sunny,No,33,1
6.21,23.0,4.7,1,0.0,High,Stormy,No,24,0
4.49,29.0,4.9,2,1.0,Jam,Sunny,No,11,0
7.56,36.0,4.8,0,1.0,Medium,Cloudy,No,30,0
12.26,37.0,4.4,1,0.0,Jam,Windy,No,36,1
12.1,35.0,4.7,2,1.0,Jam,Fog,No,42,1
9.22,23.0,5.0,2,1.0,Medium,Fog,No,18,0
7.6,22.0,4.2,0,1.0,Low,Stormy,No,22,0
10.71,30.0,4.9,0,0.0,Jam,Cloudy,No,45,1
9.07,32.0,4.7,2,1.0,Low,Fog,No,19,0
13.63,20.0,4.1,0,1.0,Jam,Windy,No,37,1
17.3,21.0,4.9,2,1.0,Jam,Windy,No,24,0
19.34,33.0,4.5,0,1.0,Low,Stormy,No,22,0
12.26,36.0,4.6,0,0.0,Low,Stormy,No,24,0
3.04,31.0,4.1,1,2.0,High,Cloudy,No,38,1
20.18,37.0,3.7,1,1.0,Low,Cloudy,No,31,1
6.05,20.0,4.9,2,1.0,High,Fog,No,25,0
20.18,26.0,4.8,2,1.0,Medium,Sandstorms,No,21,0
13.41,23.0,4.8,1,1.0,Low,Fog,No,27,0
3.07,24.0,4.7,0,1.0,Low,Sunny,No,13,0
16.85,37.0,4.7,1,1.0,Low,Windy,No,16,0
13.77,36.0,4.5,1,1.0,Medium,Windy,No,29,0
16.64,24.0,4.6,2,1.0,Low,Fog,No,22,0
3.06,20.0,4.9,1,1.0,Low,Cloudy,No,16,0
11.72,36.0,4.7,2,0.0,Medium,Sandstorms,No,27,0
9.08,28.0,4.6,2,0.0,Medium,Fog,No,18,0
12.58,24.0,4.8,1,0.0,Jam,Stormy,No,27,0
17.08,37.0,4.9,2,1.0,Low,Cloudy,No,30,0
7.45,28.0,4.8,2,1.0,Jam,Sunny,No,15,0
12.07,38.0,4.6,2,1.0,Jam,Sunny,No,22,0
7.56,38.0,4.6,2,1.0,Jam,Fog,No,26,0
17.14,33.0,4.5,1,0.0,Low,Cloudy,No,26,0
16.72,34.0,4.8,2,1.0,Jam,Cloudy,No,43,1
17.07,35.0,3.6,2,1.0,Medium,Windy,No,38,1
1.55,34.0,4.2,0,1.0,Low,Windy,No,20,0
7.76,37.0,4.8,0,1.0,Medium,Sunny,No,21,0
19.62,27.0,4.7,2,1.0,Low,Sandstorms,No,17,0
6.29,22.0,4.3,0,1.0,High,Sunny,No,43,1
4.54,32.0,4.2,1,0.0,Jam,Fog,No,32,1
13.77,22.0,4.6,0,0.0,Low,Cloudy,No,22,0
12.16,21.0,4.1,0,0.0,Jam,Stormy,No,34,1
19.88,22.0,4.6,2,1.0,Low,Sandstorms,No,17,0
6.05,35.0,4.0,0,1.0,Medium,Windy,No,38,1
9.06,28.0,5.0,0,0.0,Medium,Windy,No,23,0
1.53,25.0,4.0,0,0.0,Low,Windy,No,19,0
13.63,32.0,4.2,0,1.0,Medium,Windy,No,35,1
1.54,36.0,4.7,0,1.0,Low,Sunny,No,25,0
20.85,37.0,4.6,2,0.0,Jam,Sunny,No,26,0
13.77,29.0,4.7,2,1.0,Medium,Sandstorms,No,21,0
1.53,20.0,4.9,1,0.0,Low,Sunny,No,18,0
12.44,38.0,4.6,1,0.0,Low,Stormy,No,18,0
11.92,21.0,4.9,0,1.0,Low,Cloudy,No,20,0
13.77,36.0,4.7,0,1.0,Medium,Sandstorms,No,42,1
20.21,33.0,4.6,2,1.0,Jam,Windy,No,30,0
12.29,25.0,4.5,0,1.0,Medium,Fog,No,34,1
16.65,30.0,4.4,0,1.0,Jam,Sunny,No,32,1
7.72,28.0,4.8,1,1.0,Jam,Fog,No,20,0
14.05,31.0,4.0,2,0.0,Medium,Fog,No,42,1
5.97,37.0,4.7,1,0.0,High,Windy,No,27,0
13.83,33.0,4.3,2,1.0,Jam,Windy,No,44,1
1.51,33.0,4.9,2,0.0,Low,Windy,No,21,0
7.79,37.0,4.9,1,1.0,Low,Windy,No,24,0
11.01,37.0,4.6,0,2.0,Jam,Fog,No,40,1
12.46,29.0,4.7,2,1.0,Medium,Stormy,No,23,0
4.59,36.0,4.8,2,0.0,Low,Fog,No,18,0
7.79,28.0,4.4,0,1.0,Low,Stormy,No,29,0
16.85,20.0,4.9,1,0.0,Medium,Fog,No,25,0
16.48,28.0,4.7,2,1.0,Low,Fog,No,20,0
17.14,21.0,4.2,0,0.0,Jam,Stormy,No,39,1
12.16,23.0,4.0,0,0.0,Medium,Sandstorms,No,38,1
4.66,22.0,4.9,2,0.0,Jam,Stormy,No,15,0
11.01,37.0,4.4,0,0.0,Jam,Stormy,No,50,1
1.53,35.0,4.8,1,0.0,Low,Sunny,No,13,0
20.18,34.0,4.7,0,1.0,Medium,Sandstorms,No,42,1
20.44,20.0,4.6,0,0.0,Medium,Windy,No,26,0
11.01,21.0,4.0,0,0.0,Jam,Stormy,No,32,1
20.18,26.0,4.6,2,1.0,Medium,Sandstorms,No,19,0
10.56,22.0,4.6,0,1.0,Jam,Sandstorms,No,31,1
13.68,32.0,4.9,0,0.0,Medium,Cloudy,No,41,1
9.26,37.0,4.7,2,0.0,Low,Sandstorms,No,20,0
9.33,28.0,4.5,0,0.0,Medium,Windy,No,10,0
3.15,39.0,5.0,0,0.0,Low,Cloudy,No,21,0
3.02,31.0,4.5,1,1.0,Low,Fog,No,15,0
6.22,24.0,4.6,2,1.0,High,Fog,No,20,0
11.92,20.0,4.5,1,1.0,Medium,Stormy,No,17,0
12.42,39.0,3.6,1,1.0,Jam,Stormy,No,34,1
7.57,32.0,4.2,1,1.0,Jam,Stormy,No,34,1
1.54,20.0,4.9,1,1.0,Low,Stormy,No,19,0
13.77,31.0,4.4,0,1.0,Jam,Sandstorms,No,39,1
5.96,22.0,4.7,0,0.0,Medium,Cloudy,No,21,0
13.97,32.0,4.2,0,1.0,Medium,Stormy,No,33,1
17.1,20.0,4.9,2,1.0,Medium,Sunny,No,18,0
20.25,33.0,4.2,1,0.0,Low,Cloudy,No,35,1
5.96,26.0,4.3,2,1.0,High,Fog,No,33,1
3.11,37.0,4.2,0,0.0,Low,Stormy,No,31,1
3.06,37.0,4.9,2,0.0,Low,Sunny,No,15,0
8.93,20.0,4.8,0,1.0,Low,Sunny,No,18,0
12.58,33.0,4.7,0,0.0,Medium,Fog,No,37,1
5.96,35.0,4.6,2,0.0,High,Windy,No,25,0
19.67,34.0,4.8,2,2.0,Medium,Fog,No,44,1
4.58,37.0,5.0,0,1.0,Jam,Stormy,No,32,1
4.66,25.0,4.6,2,1.0,Jam,Sunny,No,17,0
12.26,34.0,4.4,2,1.0,Medium,Fog,No,34,1
3.12,22.0,4.8,2,1.0,Low,Cloudy,No,14,0
11.9,33.0,4.6,2,1.0,Jam,Sunny,No,27,0
13.99,31.0,4.6,1,1.0,Low,Sunny,No,26,0
12.29,38.0,3.7,1,1.0,Low,Cloudy,No,33,1
9.44,22.0,4.6,1,1.0,Jam,Cloudy,No,32,1
14.02,33.0,4.9,1,1.0,Low,Sandstorms,No,24,0
9.19,38.0,4.5,1,1.0,Jam,Sandstorms,No,30,0
3.12,35.0,4.6,1,1.0,Low,Sandstorms,No,29,0
9.22,23.0,4.8,1,1.0,Medium,Fog,No,14,0
16.72,21.0,4.8,2,1.0,Jam,Windy,No,28,0
1.52,32.0,4.8,1,0.0,Low,Stormy,No,25,0
10.87,26.0,4.6,2,1.0,Jam,Stormy,No,23,0
19.36,37.0,4.6,2,1.0,Low,Sandstorms,No,19,0
12.42,28.0,4.7,0,0.0,Low,Windy,No,16,0
9.35,20.0,4.9,2,1.0,Medium,Fog,No,19,0
3.11,34.0,4.9,1,1.0,Low,Windy,No,21,0
19.66,30.0,4.7,1,1.0,Medium,Sunny,No,17,0
12.58,21.0,4.1,2,1.0,Jam,Cloudy,No,44,1
12.16,21.0,5.0,0,1.0,Medium,Stormy,No,38,1
20.18,30.0,4.8,1,1.0,Jam,Sandstorms,No,30,0
17.1,33.0,4.7,0,1.0,Medium,Stormy,No,30,0
12.46,25.0,4.9,2,1.0,Low,Fog,No,20,0
9.22,38.0,4.4,0,0.0,Medium,Cloudy,No,31,1
9.36,23.0,4.5,2,1.0,Jam,Sandstorms,No,22,0
6.06,29.0,4.7,0,1.0,Medium,Stormy,No,24,0
11.92,31.0,4.6,2,0.0,Jam,Sunny,No,16,0
3.06,27.0,4.8,2,1.0,High,Sunny,No,19,0
12.1,34.0,4.9,0,1.0,Medium,Sunny,No,33,1
9.35,22.0,5.0,2,1.0,Jam,Fog,No,21,0
7.77,26.0,4.6,0,1.0,Medium,Fog,No,25,0
6.05,24.0,4.8,0,1.0,High,Cloudy,No,21,0
9.33,20.0,4.9,1,1.0,Medium,Sunny,No,17,0
10.88,33.0,4.1,0,1.0,Jam,Sandstorms,No,50,1
7.45,28.0,4.9,2,0.0,Medium,Fog,No,18,0
20.89,27.0,5.0,1,1.0,Jam,Stormy,No,23,0
8.94,35.0,4.6,2,1.0,Jam,Sunny,No,16,0
3.07,21.0,4.2,0,0.0,Low,Windy,No,22,0
12.42,39.0,4.7,0,2.0,Jam,Cloudy,No,53,1
3.06,25.0,4.6,1,1.0,Low,Stormy,No,11,0
1.53,35.0,4.3,1,1.0,High,Sandstorms,No,32,1
3.04,21.0,4.8,2,1.0,Low,Fog,No,17,0
4.66,25.0,4.9,0,1.0,Jam,Sandstorms,No,31,1
7.76,39.0,4.8,1,0.0,Jam,Windy,No,31,1
12.42,29.0,4.8,0,0.0,Low,Stormy,No,15,0
17.08,34.0,4.7,0,2.0,Jam,Fog,Yes,40,1
9.12,20.0,4.9,0,0.0,Medium,Fog,No,24,0
6.29,33.0,4.8,1,1.0,High,Windy,No,32,1
6.29,34.0,4.2,2,0.0,High,Fog,No,37,1
9.22,26.0,4.3,0,0.0,Jam,Sunny,No,48,1
10.87,21.0,4.7,1,1.0,Low,Cloudy,No,22,0
13.99,27.0,4.8,0,1.0,Medium,Fog,No,36,1
9.35,31.0,4.8,1,1.0,Medium,Windy,No,25,0
6.05,27.0,4.6,0,1.0,Medium,Sandstorms,No,15,0
13.99,21.0,4.7,1,0.0,Jam,Sandstorms,No,15,0
11.92,34.0,4.2,0,1.0,Jam,Stormy,Yes,51,1
9.44,29.0,4.8,0,1.0,Medium,Fog,No,28,0
